"(u'nigerian', u'bitcoin', u'exchange', u'offers', u'services', u'african', u'nations')","October 4, 2017"
"(u'ross', u'ulbricht', u'bitcoins')","October 3, 2017"
"(u'sweden', u'largest', u'online', u'stockbroker', u'avanza', u'bank', u'adds', u'bitcoin', u'services')","October 3, 2017"
"(u'bitpay', u'sprints', u'towards', u'processing', u'bitcoin', u'payments', u'annually')","October 3, 2017"
"(u'goldman', u'sachs', u'contemplates', u'creating', u'new', u'bitcoin', u'trading', u'operation')","October 3, 2017"
"(u'chinese', u'bitcoin', u'exchanges', u'bid', u'farewell', u'crypto-', u'community')","October 3, 2017"
"(u'coinbase', u'co-', u'founder', u'eyes', u'new', u'zealand', u'bitcoin', u'market')","October 2, 2017"
"(u'bitcoin-', u'fueled', u'homeless', u'outreach', u'wins', u'appeal', u'county', u'officials')","October 2, 2017"
"(u'free', u'talk', u'live', u'co-', u'host', u'discusses', u'bitcoin', u'radio', u'ads', u'accepting', u'bitcoin', u'cash')","October 1, 2017"
"(u'bitcoin', u'core', u'developer', u'appeals', u'sec', u'regarding', u'bit')","October 1, 2017"
"(u'bitcoin', u'prices', u'skyrocket', u'zimbabwean', u'exchange', u'economic', u'turmoil')","October 1, 2017"
"(u'transnistria', u'allegedly', u'seeking', u'russian', u'investment', u'establish', u'bitcoin', u'farms')","October 1, 2017"
"(u'markets', u'update', u'bitcoin', u'prices', u'see', u'uptrend', u'weekend')","October 1, 2017"
"(u'closer', u'look', u'suspicious', u'activity', u'involved', u'bitcoin', u'gold', u'fork')","September 30, 2017"
"(u'japan', u'endorses', u'different', u'crypto', u'exchanges', u'turns', u'friendliest', u'asian', u'bitcoin', u'market')","September 30, 2017"
"(u'bitcoin', u'etf', u'holy', u'grail', u'another', u'firm', u'attempts', u'odds', u'sec')","September 29, 2017"
"(u'cayman', u'investment', u'forum', u'focuses', u'rise', u'bitcoin', u'failing', u'dollar')","September 29, 2017"
"(u'gmo', u'enables', u'bitcoin', u'cash', u'ether', u'trading', u'promotional', u'discounts')","September 29, 2017"
"(u'india', u'multi-', u'currency', u'exchange', u'list', u'bitcoin', u'cash', u'two', u'weeks')","September 29, 2017"
"(u'sec', u'review', u'etfs', u'based', u'exchange', u'traded', u'bitcoin', u'derivatives', u'exist')","September 29, 2017"
"(u'another', u'fork', u'bitcoin', u'gold', u'project', u'plans', u'fork', u'bitcoin', u'next', u'month')","September 28, 2017"
"(u'bahrain', u'may', u'adopt', u'bitcoin', u'issue', u'bonds', u'digital', u'currency')","September 28, 2017"
"(u'large', u'us', u'financial', u'exchange', u'forgoes', u'bitcoin', u'futures')","September 28, 2017"
"(u'bitcoin', u'cash', u'gains', u'infrastructure', u'midst', u'segwit', u'drama')","September 27, 2017"
"(u'localbitcoins', u'trading', u'volume', u'sets', u'new', u'global', u'all-', u'time', u'high')","September 27, 2017"
"(u'korea', u'starts', u'on-', u'site', u'inspections', u'bitcoin', u'exchanges')","September 27, 2017"
"(u'sunex', u'lets', u'members', u'purchase', u'solar', u'cells', u'distributes', u'profits', u'bitcoin', u'fiat')","September 27, 2017"
"(u'president', u'european', u'central', u'bank', u'within', u'power', u'prohibit', u'regulate', u'bitcoin')","September 26, 2017"
"(u'singapore-', u'based', u'bitcoin', u'startups', u'deal', u'bank', u'account', u'closures')","September 26, 2017"
"(u'localbitcoins', u'compensates', u'users', u'selling', u'bitcoin', u'cash', u'btc')","September 26, 2017"
"(u'patent', u'filing', u'suggests', u'bitcoin', u'exchanges', u'may', u'monitored')","September 26, 2017"
"(u'japan', u'financial', u'authority', u'begin', u'bitcoin', u'exchange', u'surveillance', u'next', u'month')","September 26, 2017"
"(u'slovenian', u'savings', u'bank', u'traditional', u'atm', u'dispenses', u'bitcoin', u'vouchers')","September 25, 2017"
"(u'bitcoin', u'software', u'wars', u'case', u'replay', u'attack', u'protection')","September 25, 2017"
"(u'history', u'bitcoin.', u'com', u'introduction', u'new', u'company', u'blog')","September 24, 2017"
"(u'regulations', u'round-', u'bitcoin', u'bad', u'ukraine', u'indonesia', u'icos', u'reviewed', u'thailand')","September 24, 2017"
"(u'apartments', u'turkey', u'available', u'purchase', u'using', u'bitcoin')","September 23, 2017"
"(u'toronto', u'firm', u'evolve', u'applies', u'bitcoin-', u'based', u'etf', u'canada')","September 23, 2017"
"(u'markets', u'update', u'bitcoin', u'price', u'consolidates', u'last', u'week', u'volatility')","September 23, 2017"
"(u'introduction', u'satoshi', u'revolution', u'new', u'book', u'wendy', u'mcelroy', u'exclusively', u'bitcoin.', u'com')","September 23, 2017"
"(u'india', u'government', u'agencies', u'still', u'concerns', u'bitcoin')","September 23, 2017"
"(u'bitpay', u'adds', u'bitcoin', u'cash', u'support', u'copay', u'wallet', u'insight', u'block', u'explorer')","September 22, 2017"
"(u'younger', u'americans', u'see', u'bitcoin', u'investment', u'opportunity', u'survey', u'says')","September 22, 2017"
"(u'venezuelans', u'turn', u'selling', u'in-', u'game', u'gold', u'bitcoin')","September 22, 2017"
"(u'bitnovo', u'offers', u'loaded', u'bitcoin', u'cards', u'fifty', u'spanish', u'carrefour', u'retail', u'stores')","September 22, 2017"
"(u'major', u'japanese', u'travel', u'agency', u'accepts', u'bitcoin', u'offers', u'bitcoin-', u'exclusive', u'deals')","September 21, 2017"
"(u'jamie', u'dimon', u'bitcoin', u'statements', u'reported', u'market', u'abuse', u'sweden')","September 21, 2017"
"(u'chinese', u'bitcoin', u'exchange', u'executives', u'allegedly', u'must', u'remain', u'china')","September 20, 2017"
"(u'bitcoin-', u'accepting', u'expedia', u'accelerate', u'global', u'expansion')","September 20, 2017"
"(u'bitcoin', u'software', u'wars', u'discussions', u'heat', u'november', u'hard', u'fork', u'approaches')","September 20, 2017"
